title,slug,url,difficulty,acceptance_rate,prompt,examples,tags
Find Product Recommendation Pairs,find-product-recommendation-pairs,https://leetcode.com/problems/find-product-recommendation-pairs/,2,66.07,,,
Minimum Threshold for Inversion Pairs Count,minimum-threshold-for-inversion-pairs-count,https://leetcode.com/problems/minimum-threshold-for-inversion-pairs-count/,2,54.97,,,
Range XOR Queries with Subarray Reversals,range-xor-queries-with-subarray-reversals,https://leetcode.com/problems/range-xor-queries-with-subarray-reversals/,3,50.62,,,
Make a Positive Array,make-a-positive-array,https://leetcode.com/problems/make-a-positive-array/,2,38.63,,,
Path Existence Queries in a Graph II,path-existence-queries-in-a-graph-ii,https://leetcode.com/problems/path-existence-queries-in-a-graph-ii/,3,17.83,,,
Concatenated Divisibility,concatenated-divisibility,https://leetcode.com/problems/concatenated-divisibility/,3,22.33,,,
Analyze Subscription Conversion ,analyze-subscription-conversion,https://leetcode.com/problems/analyze-subscription-conversion/,2,78.16,,,
Minimum Operations to Make Array Sum Divisible by K,minimum-operations-to-make-array-sum-divisible-by-k,https://leetcode.com/problems/minimum-operations-to-make-array-sum-divisible-by-k/,1,86.04,,,
Find X Value of Array II,find-x-value-of-array-ii,https://leetcode.com/problems/find-x-value-of-array-ii/,3,25.81,,,
Maximize Score After Pair Deletions,maximize-score-after-pair-deletions,https://leetcode.com/problems/maximize-score-after-pair-deletions/,2,60.97,,,
Phone Number Prefix,phone-number-prefix,https://leetcode.com/problems/phone-number-prefix/,1,74.55,,,
Path Existence Queries in a Graph I,path-existence-queries-in-a-graph-i,https://leetcode.com/problems/path-existence-queries-in-a-graph-i/,2,54.09,,,
Find X Value of Array I,find-x-value-of-array-i,https://leetcode.com/problems/find-x-value-of-array-i/,2,31.32,,,
Minimum Cost to Reach Every Position,minimum-cost-to-reach-every-position,https://leetcode.com/problems/minimum-cost-to-reach-every-position/,1,81.66,,,
Find Closest Person,find-closest-person,https://leetcode.com/problems/find-closest-person/,1,82.2,,,
Shortest Path in a Weighted Tree,shortest-path-in-a-weighted-tree,https://leetcode.com/problems/shortest-path-in-a-weighted-tree/,3,30.31,,,
Analyze Organization Hierarchy,analyze-organization-hierarchy,https://leetcode.com/problems/analyze-organization-hierarchy/,3,59.75,,,
Implement Router,implement-router,https://leetcode.com/problems/implement-router/,2,21.31,,,
Maximum Profit from Valid Topological Order in DAG,maximum-profit-from-valid-topological-order-in-dag,https://leetcode.com/problems/maximum-profit-from-valid-topological-order-in-dag/,3,23.8,,,
Apply Substitutions,apply-substitutions,https://leetcode.com/problems/apply-substitutions/,2,78.16,,,
Number of Unique XOR Triplets I,number-of-unique-xor-triplets-i,https://leetcode.com/problems/number-of-unique-xor-triplets-i/,2,24.26,,,
Count Cells in Overlapping Horizontal and Vertical Substrings,count-cells-in-overlapping-horizontal-and-vertical-substrings,https://leetcode.com/problems/count-cells-in-overlapping-horizontal-and-vertical-substrings/,2,18.57,,,
Count Covered Buildings,count-covered-buildings,https://leetcode.com/problems/count-covered-buildings/,2,35.95,,,
Number of Unique XOR Triplets II,number-of-unique-xor-triplets-ii,https://leetcode.com/problems/number-of-unique-xor-triplets-ii/,2,28.83,,,
Maximize Profit from Task Assignment,maximize-profit-from-task-assignment,https://leetcode.com/problems/maximize-profit-from-task-assignment/,2,62.92,,,
